#;PSRJ;F0;DM;
;;(Hz);(cm^-3pc);
357;J0806-4123;0.087948;*;
358;J0807-5421;1.898818;165.03;
359;J0808-3937;1.154269;169.10;
360;J0809-4753;1.827478;228.30;
361;J0811+37;0.801089;16.95;
362;J0812-3905;2.072127;329.60;
363;J0813+22;1.881822;52.29;
364;J0814+7429;0.773849;5.75;
365;J0815+0939;1.550000;52.66;
366;J0815+4611;2.302862;11.27;
367;J0818-3049;1.309343;118.90;
368;J0818-3232;0.462693;131.80;
369;J0820-1350;0.807670;40.94;
370;J0820-3826;8.010467;195.50;
371;J0820-3921;0.931475;179.40;
372;J0820-4114;1.833364;113.40;
373;J0821-4221;2.520617;270.60;
374;J0821-4300;8.865291;*;
375;J0823+0159;1.156239;23.73;
376;J0824+0028;101.406008;34.55;
377;J0826+2637;1.884444;19.48;
378;J0827+53;74.074074;23.10;
379;J0828-3417;0.540857;51.60;
380;J0831-4406;3.208486;254.00;
381;J0834-4159;8.256428;240.50;
382;J0834-60;2.599800;20.00;
383;J0835-3707;1.847048;112.40;
384;J0835-4510;11.194650;67.77;
385;J0836-4233;1.354214;180.00;
386;J0837+0610;0.785072;12.86;
387;J0837-24;*;142.80;
388;J0837-4135;1.330450;147.20;
389;J0838-2621;3.240644;116.90;
390;J0838-3947;0.586873;219.00;
391;J0839-66;2.225491;83.00;
392;J0840-5332;1.387706;156.50;
393;J0842-4851;1.551943;196.85;
394;J0843+0719;0.732139;36.60;
395;J0843-5022;4.785704;178.47;
396;J0843+67;351.370344;20.70;
397;J0846-3533;0.895978;94.16;
398;J0847-4316;0.167294;292.50;
399;J0848+16;2.210433;38.00;
400;J0849-6322;2.717737;91.29;
401;J0849+8028;0.624131;34.81;
402;J0854+5449;0.811009;18.84;
403;J0855-3331;0.788932;86.64;
404;J0855-4644;15.459264;236.40;
405;J0855-4658;1.738912;472.70;
406;J0856-6137;1.038950;95.00;
407;J0857+3349;4.115886;24.00;
408;J0857-4424;3.060105;184.43;
409;J0900-3144;90.011842;75.71;
410;J0901-4624;2.262468;199.30;
411;J0902-6325;1.514432;72.72;
412;J0904-4246;1.036083;145.80;
413;J0904-7459;1.819658;51.10;
414;J0905-4536;1.011858;196.20;
415;J0905-5127;2.887660;196.43;
416;J0905-6019;2.933806;91.40;
417;J0907-5157;3.943875;103.72;
418;J0908-1739;2.489881;15.88;
419;J0908-4913;9.366011;180.44;
420;J0909-7212;0.733735;54.30;
421;J0910+77;0.633292;*;
422;J0912-3851;0.655271;71.50;
423;J0919-42;1.230618;57.80;
424;J0919-6040;0.821709;82.50;
425;J0921+6254;0.637758;13.15;
426;J0922+0638;2.322195;27.30;
427;J0922-4949;1.052312;237.10;
428;J0922-52;103.305785;122.40;
429;J0923-31;*;72.00;
430;J0924-5302;1.339875;152.90;
431;J0924-5814;1.352255;57.40;
432;J0927+2345;1.312527;17.24;
433;J0928+06;0.485343;49.80;
434;J0928+30;0.478126;21.95;
435;J0930-2301;0.553382;78.30;
436;J0931-1902;215.608810;41.49;
437;J0932-3217;0.517698;102.10;
438;J0932-5327;0.227678;118.56;
439;J0934-4154;1.753127;113.79;
440;J0934-5249;0.692148;100.00;
441;J0935+33;1.040042;18.35;
442;J0940-5428;11.422670;134.55;
443;J0941-39;1.704221;78.20;
444;J0941-5244;1.518470;157.94;
445;J0942-5552;1.505143;180.16;
446;J0942-5657;1.237372;159.74;
447;J0943+1631;0.919610;20.34;
448;J0943+2253;1.876262;27.25;
449;J0944-1354;1.753573;12.50;
450;J0944+4106;0.448545;21.41;
451;J0945-4833;3.015813;98.10;
452;J0946+0951;0.910991;15.32;
453;J0947+2740;1.175069;29.09;
454;J0949-6902;1.562462;93.00;
455;J0951-71;4.708586;77.00;
456;J0952-0607;707.314446;22.41;
457;J0952-3839;0.727900;162.88;
458;J0953+0755;3.951551;2.97;
459;J0954-5430;2.114833;201.57;
460;J0955-5304;1.159929;156.90;
461;J0955-6150;500.250125;160.70;
462;J0957-06;0.580147;26.95;
463;J0957-5432;4.912636;226.10;
464;J0959-4809;1.492346;92.70;
465;J1000+08;2.270807;21.00;
466;J1000-5149;3.911183;72.80;
467;J1001-5507;0.696073;130.32;
468;J1001-5559;0.601983;159.30;
469;J1001-5939;0.129305;113.00;
470;J1002-5559;1.286172;426.00;
471;J1002-5919;1.401563;347.00;
472;J1003-4747;3.256542;98.49;
473;J1005+30;*;17.50;
474;J1006-6311;1.196462;195.99;
475;J1010+15;*;42.00;
476;J1012-2337;0.397149;22.51;
477;J1012-4235;322.476620;71.60;
478;J1012+5307;190.267837;9.02;
479;J1012-5830;0.468693;294.00;
480;J1012-5857;1.219622;383.90;
481;J1013-5934;2.257841;379.78;
482;J1014-48;0.662778;87.00;
483;J1015-5719;7.148899;278.10;
484;J1016-5345;1.299400;66.80;
485;J1016-5819;11.385079;252.16;
486;J1016-5857;9.312161;394.48;
487;J1017+3011;2.208553;27.15;
488;J1017-5621;1.986245;438.70;
489;J1017-7156;427.621905;94.22;
490;J1018-1523;12.033694;17.17;
491;J1018-1642;0.554110;48.82;
492;J1019-5749;6.153895;1040.00;
493;J1020-5921;0.807555;80.00;
494;J1020-6026;7.118386;446.00;
495;J1021-5601;1.492479;212.00;
496;J1022+1001;60.779448;10.24;
497;J1022-5813;0.608374;714.00;
498;J1023+0038;592.421459;14.32;
499;J1023-5746;8.970828;*;
500;J1024-0719;193.715683;6.48;
501;J1028-5819;10.940532;96.53;
502;J1031-6117;3.263592;506.80;
503;J1032-5206;0.415348;139.00;
504;J1032-5911;2.154185;418.20;
505;J1034-3224;0.869119;50.75;
506;J1035-6345;1.725397;189.70;
507;J1035-6720;348.188640;84.16;
508;J1036-4926;1.959365;136.52;
509;J1036-6559;1.874408;158.36;
510;J1036-8317;293.427230;27.00;
511;J1038+0032;34.660173;26.34;
512;J1038-5831;1.510592;72.74;
513;J1041-1942;0.721309;33.78;
514;J1042-5521;0.854068;306.50;
515;J1043-6116;3.464940;448.91;
516;J1044-5737;7.192750;*;
517;J1045-0436;41.666667;4.83;
518;J1045-4509;133.793150;58.12;
519;J1046+0304;3.064933;24.98;
520;J1046-5813;2.706887;240.20;
521;J1047-3032;3.027294;52.54;
522;J1047-6709;5.039016;116.16;
523;J1048+2339;214.354785;16.65;
