#;PSRJ;F0;DM;
;;(Hz);(cm^-3pc);
1455;J1710+4923;310.536979;7.08;
1456;J1711-1509;1.151007;59.88;
1457;J1711-3826;2.148853;376.00;
1458;J1711-4322;9.744852;191.50;
1459;J1711-5350;1.112059;106.10;
1460;J1712-2715;3.916045;91.78;
1461;J1712-391;1.285101;525.00;
1462;J1712-392;10.807574;713.00;
1463;J1713+0747;218.811840;15.98;
1464;J1713-3844;0.624955;544.00;
1465;J1713-3949;2.548086;342.00;
1466;J1713+7810;2.312000;36.98;
1467;J1714-1054;1.436206;51.00;
1468;J1714-3810;0.261442;*;
1469;J1714-3830;11.884954;*;
1470;J1715-3247;0.793516;164.00;
1471;J1715-3700;1.282663;449.00;
1472;J1715-3859;1.077461;806.20;
1473;J1715-3903;3.590742;314.00;
1474;J1715-4034;0.482589;254.00;
1475;J1715-4254;1.742933;407.00;
1476;J1715+46;1.824485;19.82;
1477;J1716+34;473.933649;*;
1478;J1716-3720;1.586512;682.70;
1479;J1716-4005;3.207053;435.00;
1480;J1716-4111;0.965188;245.80;
1481;J1716-4711;1.799130;287.06;
1482;J1717+03;0.256345;25.60;
1483;J1717-3425;1.523695;583.46;
1484;J1717-3737;1.465376;522.70;
1485;J1717-3847;0.869944;707.00;
1486;J1717-3953;0.921217;466.00;
1487;J1717-4043;2.513463;452.60;
1488;J1717-40435;2.857727;539.00;
1489;J1717-4054;1.126482;306.90;
1490;J1717+4308A;316.483687;35.45;
1491;J1717-5800;3.107584;125.22;
1492;J1718-3714;0.775567;833.00;
1493;J1718-3718;0.295983;371.10;
1494;J1718-3825;13.392274;247.46;
1495;J1718-41;1.823423;354.00;
1496;J1718-4539;1.693558;254.00;
1497;J1719-1438;172.707045;36.86;
1498;J1719-2330;2.202679;101.00;
1499;J1719-3458;2.025215;530.00;
1500;J1719-4006;5.288361;386.12;
1501;J1719-4302;4.246732;297.70;
1502;J1720+00;0.297885;46.20;
1503;J1720-0212;2.093297;66.98;
1504;J1720-1633;0.638732;44.83;
1505;J1720+2150;0.618941;40.72;
1506;J1720-2446;1.143819;104.30;
1507;J1720-2933;1.611738;42.64;
1508;J1720-36;10.853978;341.00;
1509;J1720-3659;2.847992;378.97;
1510;J1721-1936;0.995979;75.70;
1511;J1721-1939;2.475004;103.00;
1512;J1721-2457;285.989344;48.23;
1513;J1721-3532;3.566030;496.82;
1514;J1722-3207;2.095742;126.06;
1515;J1722+35;1.217137;23.83;
1516;J1722-3632;2.505114;416.20;
1517;J1722-3712;4.234063;99.49;
1518;J1722-4400;4.575526;219.30;
1519;J1723-2837;538.870683;19.69;
1520;J1723-2852;1.599913;172.00;
1521;J1723-3659;4.932793;254.40;
1522;J1723-38;1.305831;472.00;
1523;J1724-3149;1.054589;400.80;
1524;J1724-35;0.703240;554.90;
1525;J1724-3505;0.818526;875.00;
1526;J1724-4500;0.763878;182.00;
1527;J1725-0732;4.168065;58.72;
1528;J1725-2852;0.795047;161.00;
1529;J1725-3546;0.968550;738.30;
1530;J1725-3848;0.484875;230.00;
1531;J1725-3853;208.688856;158.20;
1532;J1725-4043;0.682561;203.00;
1533;J1726-00;0.764175;57.00;
1534;J1726-31;8.099122;264.40;
1535;J1726-3530;0.900793;718.00;
1536;J1726-3635;3.479089;539.20;
1537;J1726-4006;1.132787;277.00;
1538;J1726-52;1.582779;119.70;
1539;J1727-1609;408.163265;*;
1540;J1727-2739;0.773335;146.00;
1541;J1727-29;*;93.00;
1542;J1727-2946;36.923282;60.74;
1543;J1727-2951;35.205127;215.10;
1544;J1728-0007;2.590649;41.09;
1545;J1728-3733;1.624594;281.50;
1546;J1728-4028;1.154278;231.00;
1547;J1729-2117;15.084572;34.22;
1548;J1730-2304;123.110287;9.63;
1549;J1730-2900;0.650015;289.00;
1550;J1730-3350;7.170504;261.29;
1551;J1730-3353;0.305788;256.00;
1552;J1730-34;10.017073;628.00;
1553;J1731-1847;426.519344;106.47;
1554;J1731-3123;1.327937;354.50;
1555;J1731-33;1.647717;571.00;
1556;J1731-3322;1.835972;877.40;
1557;J1731-4744;1.205068;123.06;
1558;J1732-1930;2.067098;72.43;
1559;J1732-3131;5.087941;15.44;
1560;J1732-3426;3.004025;513.50;
1561;J1732-35;7.893283;340.00;
1562;J1732-3729;0.457875;317.00;
1563;J1732-4128;1.592406;195.30;
1564;J1732-4156;3.091820;228.70;
1565;J1732-5049;188.233512;56.82;
1566;J1733-01;3.311258;61.98;
1567;J1733-2228;1.147206;41.14;
1568;J1733-2533;1.515624;242.00;
1569;J1733-2837;1.301771;225.00;
1570;J1733-3030;2.762034;636.00;
1571;J1733-3322;0.802623;524.00;
1572;J1733-3716;2.962129;153.18;
1573;J1733-4005;1.780062;317.80;
1574;J1733-5515;0.988891;83.90;
1575;J1734-0212;1.191335;65.05;
1576;J1734-2415;1.632590;126.30;
1577;J1734-2859;3.317235;313.90;
1578;J1734-3058;1.847453;260.00;
1579;J1734-3333;0.855183;578.00;
1580;J1735-0243;1.277324;54.90;
1581;J1735-0724;2.384728;73.51;
1582;J1735-3258;2.849232;758.00;
1583;J1735+6320;1.958027;41.85;
1584;J1736+05;1.000756;42.00;
1585;J1736-2457;0.378469;169.40;
1586;J1736-2819;0.627975;261.00;
1587;J1736-2843;0.155158;331.00;
1588;J1736-3422;2.880000;*;
1589;J1736-3511;1.988851;106.00;
1590;J1737-0811;239.519965;55.31;
1591;J1737-3102;1.300945;280.00;
1592;J1737-3137;2.220089;488.10;
1593;J1737-3320;1.225080;804.00;
1594;J1737-3555;2.515187;89.41;
1595;J1738+0333;170.937370;33.77;
1596;J1738+04;0.718499;23.60;
1597;J1738-2330;0.505345;96.60;
1598;J1738-2647;2.860486;182.20;
1599;J1738-2736;1.593078;323.60;
1600;J1738-2955;2.255171;223.40;
1601;J1738-3107;1.819844;735.00;
1602;J1738-3211;1.301238;49.59;
1603;J1738-3316;1.369164;273.00;
1604;J1739+0612;4.270419;95.52;
1605;J1739-1313;0.822573;58.20;
1606;J1739-2521;0.549916;186.40;
1607;J1739-2903;3.097064;138.55;
1608;J1739-3023;8.743419;170.50;
1609;J1739-3049;4.178555;573.20;
1610;J1739-3131;1.888785;596.90;
1611;J1739-3159;1.139522;337.00;
1612;J1739-3951;2.925923;24.60;
1613;J1740+1000;6.489833;23.90;
1614;J1740+1311;1.245252;48.67;
1615;J1740-2540;0.590787;333.00;
1616;J1740+27;0.945001;35.46;
1617;J1740-3015;1.647754;151.96;
1618;J1740-3052;1.753422;738.80;
1619;J1740-3327;1.941745;274.10;
1620;J1740-5340A;273.947918;71.80;
1621;J1741-0840;0.489457;74.90;
1622;J1741+1351;266.869167;24.20;
1623;J1741-2019;0.256114;74.90;
1624;J1741-2054;2.417210;4.70;
1625;J1741-21;0.389864;150.70;
1626;J1741-2719;2.883532;361.90;
1627;J1741-2733;1.119873;147.40;
1628;J1741+2758;0.734895;29.14;
1629;J1741-2945;4.473116;310.30;
1630;J1741-3016;0.528053;382.00;
1631;J1741-34;1.142678;241.00;
1632;J1741+3855;1.206475;47.22;
1633;J1741-3927;1.952315;158.20;
1634;J1742-0203;7.575758;81.89;
1635;J1742-3321;6.980000;*;
1636;J1742-3957;0.983914;220.00;
1637;J1742-4616;2.424824;115.96;
1638;J1743-0339;2.248985;30.26;
1639;J1743+05;0.678596;56.10;
1640;J1743-1351;2.467083;116.30;
1641;J1743-2442;0.804824;239.00;
1642;J1743-3150;0.414138;193.05;
1643;J1743-3153;5.178519;505.70;
1644;J1743-35;1.754448;174.00;
1645;J1743-4212;3.266191;131.94;
1646;J1744-1134;245.426120;3.14;
1647;J1744-1610;0.569085;66.67;
1648;J1744-2335;0.593998;96.66;
1649;J1744-3130;0.938033;192.90;
1650;J1744-3922;5.798972;148.10;
1651;J1744-5337;2.811628;108.85;
1652;J1744-7619;213.332237;*;
1653;J1745-0129;0.956565;89.30;
1654;J1745-0952;51.609431;64.47;
1655;J1745+1017;377.055470;23.97;
1656;J1745+1252;0.943531;66.14;
1657;J1745-2229;0.861629;299.00;
1658;J1745-23;184.614253;244.94;
1659;J1745-2758;2.051164;422.00;
1660;J1745-2900;0.265694;1778.00;
1661;J1745-2910;1.018330;1088.00;
1662;J1745-2912;5.336766;1130.00;
1663;J1745-3040;2.721579;88.37;
1664;J1745-3812;1.431941;163.60;
1665;J1745+42;3.277614;38.00;
1666;J1746+2245;0.288597;49.85;
1667;J1746+2540;0.945047;51.20;
1668;J1746-2849;0.676370;1456.00;
1669;J1746-2850;0.928418;962.70;
1670;J1746-2856;1.057950;1168.00;
1671;J1746-3239;5.011492;*;
1672;J1747-1030;0.633395;128.00;
1673;J1747-2647;1.998983;570.00;
1674;J1747-2802;0.359702;835.00;
1675;J1747-2809;19.174406;1133.00;
1676;J1747-2958;10.120026;101.50;
1677;J1747-4036;607.677538;152.96;
1678;J1748-1300;2.537212;99.36;
1679;J1748-2021A;3.464970;219.40;
1680;J1748-2021B;59.665418;220.92;
1681;J1748-2021C;160.592710;226.95;
1682;J1748-2021D;74.097014;224.98;
1683;J1748-2021E;61.485477;224.10;
1684;J1748-2021F;263.599833;220.43;
1685;J1748-2444;2.258160;207.33;
1686;J1748-2446A;86.481637;242.15;
1687;J1748-2446aa;172.770057;237.42;
1688;J1748-2446ab;195.323563;238.34;
1689;J1748-2446ac;196.582994;238.72;
1690;J1748-2446ad;716.355562;235.60;
1691;J1748-2446ae;273.329343;238.75;
1692;J1748-2446af;302.632296;237.34;
1693;J1748-2446ag;224.818628;237.75;
1694;J1748-2446ah;201.403784;237.75;
1695;J1748-2446ai;47.106750;233.90;
1696;J1748-2446aj;337.962341;238.63;
1697;J1748-2446ak;529.070665;236.71;
1698;J1748-2446al;168.067227;236.48;
1699;J1748-2446an;208.231917;237.74;
1700;J1748-2446C;118.538253;237.00;
1701;J1748-2446D;212.134969;243.83;
1702;J1748-2446E;455.000455;236.84;
1703;J1748-2446F;180.500854;239.18;
1704;J1748-2446G;46.142765;237.57;
1705;J1748-2446H;203.008999;238.13;
1706;J1748-2446I;104.491133;238.73;
1707;J1748-2446J;12.447421;234.35;
1708;J1748-2446K;336.740020;234.81;
1709;J1748-2446L;445.493830;237.74;
1710;J1748-2446M;280.145788;238.65;
1711;J1748-2446N;115.381509;238.47;
1712;J1748-2446O;596.434514;236.38;
1713;J1748-2446P;578.496141;238.79;
1714;J1748-2446Q;355.618777;234.50;
1715;J1748-2446R;198.864879;237.60;
1716;J1748-2446S;163.488451;236.26;
1717;J1748-2446T;141.145053;237.70;
1718;J1748-2446U;304.030841;235.50;
1719;J1748-2446V;482.506719;239.11;
1720;J1748-2446W;237.801949;239.14;
1721;J1748-2446X;333.415576;240.03;
1722;J1748-2446Y;488.243106;239.11;
1723;J1748-2446Z;406.076529;238.85;
1724;J1748-244am;340.852555;238.19;
1725;J1748-30;2.612776;584.00;
1726;J1748-3009;103.263527;420.20;
1727;J1749+16;0.432591;59.60;
1728;J1749-2146;0.368384;260.00;
1729;J1749-2347;1.143529;344.00;
1730;J1749-2629;0.748846;409.00;
1731;J1749-3002;1.639684;509.40;
1732;J1749-4931;2.243046;55.29;
1733;J1749-5417;3.251221;69.00;
1734;J1749-5605;0.750576;58.00;
1735;J1749+5952;2.293363;45.07;
1736;J1750+07;0.523887;55.40;
1737;J1750-2043;0.177335;239.00;
1738;J1750-2438;1.402930;476.00;
1739;J1750-2444;1.111881;331.00;
1740;J1750-2536;28.777763;178.40;
1741;J1750-28;0.768927;388.00;
1742;J1750-3157;1.098463;206.34;
1743;J1750-3503;1.461959;189.35;
1744;J1750-3703A;8.960506;233.82;
1745;J1750-3703B;164.621462;234.39;
1746;J1750-3703C;37.638304;230.67;
1747;J1750-3703D;194.554922;230.09;
1748;J1751-2516;2.532699;556.00;
1749;J1751-2737;448.430493;260.00;
1750;J1751-2857;255.436111;42.84;
1751;J1751-3323;1.824062;296.70;
1752;J1751-4657;1.347067;20.40;
1753;J1752+2359;2.444684;36.20;
1754;J1752-2410;5.234596;508.30;
1755;J1752-2806;1.777596;50.37;
1756;J1752-2821;1.561940;516.30;
1757;J1753-12;2.466371;73.20;
1758;J1753-1914;15.884390;105.30;
1759;J1753-2240;10.511068;158.60;
1760;J1753-2501;1.892733;672.00;
1761;J1753-28;11.647056;18.00;
1762;J1753-2819;53.695220;298.40;
1763;J1753-38;1.499691;167.60;
1764;J1754+0032;226.716242;70.00;
1765;J1754-2422;0.478412;738.00;
1766;J1754-3014;0.757294;89.70;
1767;J1754-3443;2.764794;188.70;
1768;J1754-3510;2.546448;81.23;
1769;J1754+5201;0.418166;35.01;
1770;J1755-0903;5.243573;63.67;
1771;J1755-1650;1.362872;159.90;
1772;J1755-2025;3.103362;364.30;
1773;J1755-2521;0.850363;252.00;
1774;J1755-25211;0.995508;835.00;
1775;J1755-2534;4.281910;590.00;
1776;J1755-2550;3.172628;750.90;
1777;J1755-26;2.320874;405.00;
1778;J1755-2725;3.817454;115.10;
1779;J1755-33;1.042246;266.50;
1780;J1755-3716;78.210119;167.60;
1781;J1756+1822;1.344084;70.80;
1782;J1756-2225;2.469256;329.00;
1783;J1756-2251;35.135073;121.20;
1784;J1756-2435;1.491469;367.10;
1785;J1756-25;1.168243;706.00;
1786;J1756-2619;1.380236;534.00;
1787;J1757-1500;5.575565;150.00;
1788;J1757-16;2.215954;132.20;
1789;J1757-1854;46.517617;378.20;
1790;J1757-2223;5.396360;239.30;
1791;J1757-2421;4.271573;179.45;
1792;J1757-2745;56.538013;334.00;
1793;J1757-5322;112.740064;30.82;
1794;J1758-1931;1.443936;207.00;
1795;J1758-2206;2.324077;678.00;
1796;J1758-2540;0.474549;218.20;
1797;J1758-2630;0.831329;328.00;
1798;J1758-2846;1.304280;66.60;
1799;J1758+3030;1.055681;35.07;
1800;J1759-1029;0.398048;115.40;
1801;J1759-1736;1.252424;206.00;
1802;J1759-1903;1.367044;467.00;
1803;J1759-1940;3.925874;302.70;
1804;J1759-1956;0.351693;236.40;
1805;J1759-2205;2.169284;177.16;
1806;J1759-2302;1.233475;889.00;
1807;J1759-2307;1.789265;812.60;
1808;J1759-24;0.685994;772.00;
1809;J1759-2549;1.045425;424.00;
1810;J1759-2922;1.740946;79.42;
1811;J1759-3107;0.926823;128.30;
1812;J1759+5036;5.681290;7.78;
1813;J1759-5505;2.678150;63.00;
1814;J1800-0125;1.276837;51.00;
1815;J1800-2114;0.555780;641.00;
1816;J1800-2343;0.970101;280.00;
1817;J1800+5034;1.728982;22.71;
1818;J1801-0357;1.085196;120.37;
1819;J1801-0857A;139.360885;182.61;
1820;J1801-0857B;34.528493;182.39;
1821;J1801-0857C;267.472675;182.46;
1822;J1801-0857D;236.600598;174.49;
1823;J1801-0857E;131.550032;183.29;
1824;J1801-0857F;40.173574;183.71;
1825;J1801-0857G;19.383088;185.30;
1826;J1801-0857H;177.219389;179.60;
1827;J1801-0857I;307.692308;177.80;
1828;J1801-1417;275.854709;57.26;
1829;J1801-1855;0.392080;484.00;
1830;J1801-1909;0.901937;264.00;
1831;J1801-2115;2.282515;778.80;
1832;J1801-2154;2.664523;386.00;
1833;J1801-2304;2.404846;1067.85;
1834;J1801-2451;8.004854;291.55;
1835;J1801-2920;0.924291;125.61;
1836;J1801-3210;134.163639;177.71;
1837;J1801-3458;0.721707;146.00;
1838;J1802+0128;1.804202;97.97;
1839;J1802+03;1.505344;77.00;
1840;J1802-0523;0.595035;121.00;
1841;J1802-1745;1.942987;264.20;
1842;J1802-2124;79.066424;149.63;
1843;J1802-2426;1.757447;711.00;
1844;J1802-3346;0.406330;217.00;
1845;J1803+1358;657.894737;*;
1846;J1803-1616;1.863600;388.10;
1847;J1803-1857;0.349121;392.00;
1848;J1803-1920;2.254035;436.10;
1849;J1803-2137;7.481283;233.99;
1850;J1803-2149;9.404498;*;
1851;J1803-2712;2.990293;165.50;
1852;J1803-3002A;140.817452;192.62;
1853;J1803-3002B;227.427792;192.60;
1854;J1803-3002C;171.232877;194.50;
1855;J1803-3002D;180.831826;192.73;
1856;J1803-3329;1.578751;170.90;
1857;J1804-0735;43.288441;186.32;
1858;J1804-2228;1.752816;424.00;
1859;J1804-2717;107.031649;24.66;
1860;J1804-28;0.785539;213.00;
1861;J1804-2858;669.933583;232.00;
1862;J1805+0306;4.572232;80.86;
1863;J1805+0615;469.724725;64.88;
1864;J1805-0619;2.199491;147.10;
1865;J1805-1504;0.846547;225.00;
1866;J1805-2032;2.464453;932.30;
1867;J1805-2037;2.794805;708.10;
1868;J1805-2447;1.511940;269.00;
1869;J1805-2948;2.334589;167.90;
1870;J1806+1023;2.064894;52.03;
1871;J1806-1154;1.913442;122.41;
1872;J1806-1618;1.496313;319.00;
1873;J1806-1920;1.136634;683.00;
1874;J1806-2125;2.075444;747.00;
1875;J1806+2819;66.296875;18.68;
1876;J1807+04;1.251721;53.00;
1877;J1807+0756;2.153778;89.29;
1878;J1807-0847;6.107714;112.38;
1879;J1807-2459A;326.856263;134.00;
1880;J1807-2459B;238.881431;137.15;
1881;J1807-2557;0.361769;385.00;
1882;J1807-2715;1.208056;312.98;
1883;J1808+00;2.352305;149.20;
1884;J1808-0813;1.141495;151.27;
1885;J1808-1020;1.675061;225.30;
1886;J1808-1517;1.836381;205.00;
1887;J1808-1726;4.148783;536.00;
1888;J1808-2024;0.132347;*;
1889;J1808-2057;1.088838;606.80;
1890;J1808-2701;0.406854;95.00;
1891;J1808-3249;2.740385;147.30;
1892;J1809-0119;1.342324;138.30;
1893;J1809-0743;3.185873;240.70;
1894;J1809-1429;1.116962;411.30;
1895;J1809+17;0.483863;47.32;
1896;J1809-1850;0.889299;598.00;
1897;J1809-1917;12.083823;197.10;
1898;J1809-1943;0.180481;178.00;
1899;J1809-2004;2.299848;867.10;
1900;J1809-2109;1.423663;381.91;
1901;J1809-2332;6.812521;*;
1902;J1809-3547;1.162267;193.84;
1903;J1810+0705;3.250100;79.42;
1904;J1810-1441;4.603765;304.90;
1905;J1810-1709;0.861228;670.00;
1906;J1810+1744;602.409639;39.70;
1907;J1810-1820;6.505492;452.20;
1908;J1810-2005;30.467142;241.00;
1909;J1810-5338;3.830687;45.00;
1910;J1811-0154;1.081146;148.10;
1911;J1811+0702;2.165849;57.80;
1912;J1811-1049;0.381118;253.30;
1913;J1811-1717;2.555028;545.50;
1914;J1811-1736;9.598591;473.93;
1915;J1811-1835;1.793839;761.00;
1916;J1811-1925;15.463838;*;
1917;J1811-2405;375.856020;60.60;
1918;J1811-2439;2.404928;167.20;
1919;J1811-4930;0.697981;44.00;
1920;J1812+0226;1.259600;104.14;
1921;J1812-15;0.985679;431.00;
1922;J1812-1718;0.829618;251.40;
1923;J1812-1733;1.857560;509.80;
1924;J1812-1910;2.320234;892.00;
1925;J1812-20;0.525455;457.00;
1926;J1812-2102;0.817426;547.20;
1927;J1812-2526;3.166210;361.40;
1928;J1812-2748;4.219706;104.00;
1929;J1812-3039;1.702195;141.40;
1930;J1813-1246;20.802023;*;
1931;J1813-1749;22.351084;1087.00;
1932;J1813+1822;2.972434;60.80;
1933;J1813-2113;2.344851;462.30;
1934;J1813-2242;3.044008;333.00;
1935;J1813-2621;225.733042;122.52;
1936;J1813+4013;1.074011;41.56;
1937;J1814-0521;0.985980;130.60;
1938;J1814-0618;0.725759;168.00;
1939;J1814+1130;1.331095;65.00;
1940;J1814-1649;1.044426;782.00;
1941;J1814-1744;0.251515;820.00;
1942;J1814+22;3.941663;62.31;
1943;J1814+31;478.468900;*;
1944;J1815-1738;5.038875;724.60;
1945;J1815-1910;0.800049;547.80;
1946;J1815+5546;2.342777;59.00;
1947;J1816-0755;4.594687;117.90;
1948;J1816-1446;1.682086;629.00;
1949;J1816-1729;1.278260;520.70;
1950;J1816-2650;1.686667;128.12;
1951;J1816+4510;313.174936;38.89;
1952;J1816-5643;4.588779;52.40;
1953;J1817-0743;2.282608;14.80;
1954;J1817-1511;4.452284;970.00;
1955;J1817-1742;6.678062;*;
1956;J1817-1938;0.488559;519.60;
1957;J1817-2311;1.598798;240.00;
1958;J1817-3618;2.583850;94.13;
1959;J1817-3837;2.600870;102.85;
1960;J1818-0151;1.193980;209.00;
1961;J1818-1116;1.835538;422.00;
1962;J1818-1422;3.430656;619.65;
1963;J1818-1448;3.554023;644.00;
1964;J1818-1519;1.064181;845.00;
1965;J1818-1541;1.814442;690.00;
1966;J1818-1556;1.049639;230.00;
1967;J1818-1607;0.733411;699.20;
1968;J1819-0925;1.173644;378.00;
1969;J1819-1008;3.316861;404.00;
1970;J1819-1114;3.399481;309.70;
1971;J1819-1131;0.720390;578.00;
1972;J1819+1305;0.943073;64.81;
1973;J1819-1318;0.659763;35.10;
1974;J1819-1408;0.559131;1075.00;
1975;J1819-1458;0.234565;196.00;
1976;J1819-1510;4.414251;418.14;
1977;J1819-17;0.425146;67.00;
1978;J1819-1717;2.541156;405.00;
1979;J1819-37;1.582278;68.20;
1980;J1820-0427;1.672012;84.44;
1981;J1820-0509;2.964537;102.40;
1982;J1820-1346;1.085235;771.00;
1983;J1820-1529;3.000717;768.50;
1984;J1820-1818;3.226800;436.00;
1985;J1821+0155;29.602148;51.75;
1986;J1821-0256;2.414811;84.00;
1987;J1821-0331;1.108260;171.50;
1988;J1821-1419;0.603861;1123.00;
1989;J1821-1432;0.522158;570.00;
1990;J1821+1715;0.731699;60.28;
1991;J1821+4147;0.792483;40.67;
1992;J1822+02;0.663130;103.80;
1993;J1822+0705;0.733774;62.20;
1994;J1822-0719;2.003705;199.00;
1995;J1822-0848;1.197835;186.30;
1996;J1822-0902;6.716164;448.10;
1997;J1822-0907;1.025956;467.00;
1998;J1822+1120;0.559586;95.20;
1999;J1822-1252;0.482849;925.00;
2000;J1822-1400;4.656120;649.27;
2001;J1822-1604;0.118515;*;
2002;J1822-1617;1.203144;647.00;
2003;J1822-2256;0.533541;121.20;
2004;J1822+2617;1.690853;64.70;
2005;J1822-4209;2.190523;72.51;
2006;J1823-0154;1.316175;135.87;
2007;J1823+0550;1.328186;66.78;
2008;J1823-1115;3.573615;428.59;
2009;J1823-1126;0.541555;607.00;
2010;J1823-1347;1.620464;1044.00;
2011;J1823-1526;0.615231;611.00;
2012;J1823-1807;0.610951;330.00;
2013;J1823-3021A;183.823389;86.88;
2014;J1823-3021B;2.641335;87.01;
2015;J1823-3021C;2.463443;86.88;
2016;J1823-3021D;331.119221;86.80;
2017;J1823-3021E;227.583068;91.40;
2018;J1823-3021F;206.185567;86.70;
2019;J1823-3021G;164.168746;86.21;
2020;J1823-3021H;194.931774;86.85;
2021;J1823-3106;3.520453;50.24;
2022;J1823-3543;421.940928;*;
2023;J1824-0127;0.400085;63.00;
2024;J1824-0132;4.469703;79.00;
2025;J1824+1014;245.947030;59.88;
2026;J1824-1118;2.294846;601.31;
2027;J1824-1159;2.758681;462.96;
2028;J1824-1350;0.716025;551.00;
2029;J1824-1423;2.782460;427.63;
2030;J1824-1500;2.425830;571.00;
2031;J1824-1945;5.281576;224.38;
2032;J1824-2233;0.860775;156.50;
2033;J1824-2328;0.664066;195.40;
2034;J1824-2452A;327.405573;119.91;
2035;J1824-2452B;152.741714;119.50;
2036;J1824-2452C;240.442414;120.70;
2037;J1824-2452D;12.526305;119.50;
2038;J1824-2452E;184.501845;119.80;
2039;J1824-2452F;407.996736;123.80;
2040;J1824-2452G;169.233373;119.40;
2041;J1824-2452H;216.029380;121.50;
2042;J1824-2452I;254.333031;119.00;
2043;J1824-2452J;247.586036;119.20;
2044;J1824-2452K;224.164985;119.80;
2045;J1824-2452L;243.902439;119.00;
2046;J1824-2537;4.477874;158.50;
2047;J1825+0004;1.283780;56.62;
2048;J1825-0319;219.609941;119.50;
2049;J1825-0935;1.300355;19.38;
2050;J1825-1108;0.519245;121.00;
2051;J1825-1446;3.581684;352.23;
2052;J1825-31;0.419815;93.30;
2053;J1825-33;0.786658;43.20;
2054;J1826-1131;0.477752;320.58;
2055;J1826-1256;9.072459;*;
2056;J1826-1334;9.853499;231.00;
2057;J1826-1419;1.297656;160.00;
2058;J1826-1526;2.617302;530.00;
2059;J1826-2415;212.958203;81.00;
2060;J1827-0750;3.696830;375.45;
2061;J1827-0849;446.428571;*;
2062;J1827-0934;1.951037;259.20;
2063;J1827-0958;4.069058;430.00;
2064;J1827-1446;2.003259;*;
2065;J1828-0611;3.711750;363.20;
2066;J1828+0625;275.482094;22.40;
2067;J1828-1007;6.527544;302.60;
2068;J1828-1057;4.059541;249.00;
2069;J1828-1101;13.877994;605.00;
2070;J1828+1221;0.654324;69.10;
2071;J1828-1336;1.162342;494.70;
2072;J1828+1359;1.348364;56.00;
2073;J1828-2119;1.943547;268.00;
2074;J1829+0000;5.021406;116.80;
2075;J1829-0734;3.140695;316.80;
2076;J1829-1011;1.206031;610.00;
2077;J1829-1751;3.255919;216.83;
2078;J1829+2456;24.384401;13.80;
2079;J1829+25;0.350018;74.00;
2080;J1830-0052;2.892698;220.40;
2081;J1830-0131;6.556863;95.70;
2082;J1830-10;4.077306;203.00;
2083;J1830-1059;2.468690;159.70;
2084;J1830-1135;0.160732;257.00;
2085;J1830-1313;1.338352;537.00;
2086;J1830-1414;1.296189;393.60;
2087;J1831-04;0.938458;216.00;
2088;J1831-0823;1.633632;245.90;
2089;J1831-0952;14.866165;247.00;
2090;J1831-1223;0.349902;342.00;
2091;J1831-1329;0.461749;338.00;
2092;J1831-1423;1.968716;352.00;
2093;J1832+0029;1.872948;32.70;
2094;J1832-0644;1.343553;574.30;
2095;J1832-0827;1.544818;300.87;
2096;J1832-0836;367.767121;28.19;
2097;J1832-1021;3.027055;474.14;
2098;J1832+27;1.582779;46.00;
2099;J1832-28;5.017561;127.00;
2100;J1833-0209;3.425471;325.40;
2101;J1833-0338;1.456170;234.54;
2102;J1833-0556;0.657227;461.00;
2103;J1833-0559;2.068428;346.70;
2104;J1833-0827;11.724958;410.95;
2105;J1833-0831;0.132181;*;
2106;J1833-1034;16.159357;169.50;
2107;J1833-1055;1.578182;543.00;
2108;J1833-3840;534.759358;78.60;
2109;J1833-6023;0.529259;35.00;
2110;J1834-0010;1.919554;88.65;
2111;J1834-0031;3.034607;155.10;
2112;J1834-0426;3.446990;79.31;
2113;J1834-0602;2.049543;445.00;
2114;J1834-0633;3.151444;707.00;
2115;J1834-0731;1.949336;288.30;
2116;J1834-0742;1.268466;552.00;
2117;J1834-0812;2.036073;1020.00;
2118;J1834-0845;0.402852;*;
2119;J1834-09;1.951877;529.00;
2120;J1834+10;0.852719;78.48;
2121;J1834-1202;1.638649;342.40;
2122;J1834-1710;2.790910;123.80;
2123;J1834-1855;0.682288;185.20;
2124;J1835-0114;195.450398;98.00;
2125;J1835-0349;1.187840;269.60;
2126;J1835-0522;0.919330;456.00;
2127;J1835-0600;0.450088;780.00;
2128;J1835-0643;3.269789;464.80;
2129;J1835-0847;1.181343;850.00;
2130;J1835-0924;1.163884;471.00;
2131;J1835-09242;4.250816;500.00;
2132;J1835-0928;1.608405;450.00;
2133;J1835-0944;6.880069;276.20;
2134;J1835-0946;2.634795;193.30;
2135;J1835-1020;3.306336;115.90;
2136;J1835-1106;6.027087;132.68;
2137;J1835-15;*;22.90;
2138;J1835-1548;1.491456;327.00;
2139;J1835-3259A;257.135510;63.35;
2140;J1836-0436;2.822973;231.50;
2141;J1836-0517;2.187011;564.00;
2142;J1836-1008;1.777112;316.98;
2143;J1836-11;2.015344;326.00;
2144;J1836-1324;5.594207;157.33;
2145;J1836-2354A;298.121588;89.11;
2146;J1836-2354B;309.379715;93.30;
2147;J1836+51;1.445087;44.40;
2148;J1836+5925;5.771545;*;
2149;J1837+0033g;2.391544;186.90;
2150;J1837-0045;1.620649;86.98;
2151;J1837+0053;2.111877;124.00;
2152;J1837-0559;4.973548;319.50;
